date,long_deal_amount_外資,long_deal_amount_投信,long_deal_amount_自營商,long_deal_volume_外資,long_deal_volume_投信,long_deal_volume_自營商,long_open_interest_balance_amount_外資,long_open_interest_balance_amount_投信,long_open_interest_balance_amount_自營商,long_open_interest_balance_volume_外資,long_open_interest_balance_volume_投信,long_open_interest_balance_volume_自營商,short_deal_amount_外資,short_deal_amount_投信,short_deal_amount_自營商,short_deal_volume_外資,short_deal_volume_投信,short_deal_volume_自營商,short_open_interest_balance_amount_外資,short_open_interest_balance_amount_投信,short_open_interest_balance_amount_自營商,short_open_interest_balance_volume_外資,short_open_interest_balance_volume_投信,short_open_interest_balance_volume_自營商
2018-06-05,96744874,117320,35407810,43660,53,16010,160633794,3798881,18097645,72646,1716,8394,98256299,870142,36136490,44337,393,16344,54946371,57853235,23059521,24929,26133,10601
2018-06-06,122352058,879606,46271438,54950,393,20806,175707537,3780445,18215510,78562,1688,8355,104329549,234643,55254918,46849,105,24824,50702057,57819753,32277896,22750,25817,14585
2018-06-07,116473656,271318,39631422,51972,121,17719,171233679,3862088,16849179,76369,1720,7732,123877249,655602,36852701,55267,292,16482,53302760,58425308,28169463,23852,26020,12725
2018-06-08,110244773,22222,35016021,49370,10,15711,166386759,3684600,17322894,74893,1656,8011,113658864,1217113,35906302,50896,547,16126,52929841,58946925,29420384,23902,26493,13416
2018-06-11,103962131,13353,30169835,46731,6,13583,165817366,3405168,15146695,74625,1530,7033,105273154,443246,33125032,47318,199,14911,53638811,59111936,30207913,24220,26560,13766
2018-06-12,139946701,35612,46205536,63025,16,20829,165429259,3311105,15042924,74397,1486,6976,140447536,259650,45398398,63225,117,20476,53621552,59307999,29253275,24185,26617,13338
2018-06-13,99040954,109314,39305968,44501,49,17674,162999521,3392842,16342462,73295,1522,7541,100504597,79946,36998259,45143,36,16649,52612599,59385888,27424783,23726,26640,12508
2018-06-14,124695478,7100255,42787908,56504,3216,19396,155849438,3527360,14204198,71217,1609,6653,138084905,8184828,43443279,62462,3785,19736,60335160,59792705,25683033,27606,27296,11913
2018-06-15,170780893,29053940,37682522,78011,13207,17179,167885980,3658251,16183597,76582,1668,7525,168487110,28440242,38852295,76662,13199,17723,69483165,59577736,28489804,31625,27315,13139
2018-06-19,273937143,25051158,61352684,126360,11501,28214,162174412,3033570,18915682,75873,1422,8909,286904682,26505097,54760132,132088,12402,25214,78365389,59473388,23839038,36684,27972,11239
